County,County Code,Year,Deaths,State,State Abbr_x,Population,State Abbr_y
Acadia Parish,22001.0,2006,19.0,Louisiana,LA,59585.0,LA
Acadia Parish,22001.0,2007,19.0,Louisiana,LA,59715.0,LA
Acadia Parish,22001.0,2009,11.0,Louisiana,LA,60095.0,LA
Acadia Parish,22001.0,2010,13.0,Louisiana,LA,61773.0,LA
Acadia Parish,22001.0,2011,10.0,Louisiana,LA,61763.0,LA
Ada County,16001.0,2006,32.0,Idaho,ID,360869.0,ID
Ada County,16001.0,2007,32.0,Idaho,ID,372467.0,ID
Ada County,16001.0,2008,37.0,Idaho,ID,379350.0,ID
Ada County,16001.0,2009,44.0,Idaho,ID,384656.0,ID
Ada County,16001.0,2010,35.0,Idaho,ID,392365.0,ID
Ada County,16001.0,2011,45.0,Idaho,ID,401088.0,ID
Ada County,16001.0,2012,28.0,Idaho,ID,408921.0,ID
Ada County,16001.0,2013,55.0,Idaho,ID,416439.0,ID
Ada County,16001.0,2014,65.0,Idaho,ID,426847.0,ID
Ada County,16001.0,2015,3014,Idaho,ID,434211.0,ID
Adams County,8001.0,2006,62.0,Colorado,CO,409532.0,CO
Adams County,8001.0,2007,70.0,Colorado,CO,419607.0,CO
Adams County,8001.0,2008,50.0,Colorado,CO,429597.0,CO
Adams County,8001.0,2009,67.0,Colorado,CO,440994.0,CO
Adams County,8001.0,2010,53.0,Colorado,CO,441603.0,CO
Adams County,8001.0,2011,88.0,Colorado,CO,452204.0,CO
Adams County,8001.0,2012,91.0,Colorado,CO,460728.0,CO
Adams County,8001.0,2013,78.0,Colorado,CO,470590.0,CO
Adams County,8001.0,2014,88.0,Colorado,CO,481169.0,CO
Adams County,8001.0,2015,6717,Colorado,CO,491337.0,CO
Adams County,17001.0,2015,14,Illinois,IL,67013.0,IL
Adams County,39001.0,2012,10.0,Ohio,OH,28354.0,OH
Adams County,39001.0,2014,10.0,Ohio,OH,28124.0,OH
Adams County,39001.0,2015,13,Ohio,OH,28024.0,OH
Adams County,42001.0,2009,12.0,Pennsylvania,PA,102323.0,PA
Adams County,42001.0,2010,10.0,Pennsylvania,PA,101407.0,PA
